SMA5,EMA5,SMA10,EMA10,SMA50,EMA50,SMA100,EMA100,Close
0.4281252,0.4218137657,0.4250001,0.4306260047,0.50803576,0.4747112474,0.48868302,0.3303426996,0.415179
0.4214286,0.4240661771,0.4281251,0.4302523675,0.50687504,0.4729018259,0.48828123,0.3322878145,0.428571
0.4245536,0.4315204514,0.432143,0.4331935734,0.5062054,0.4718636759,0.48810266,0.334548036,0.446429
0.4250002,0.4312816343,0.4328127,0.4327591055,0.50500006,0.4702534925,0.48779016,0.3364540947,0.430804
0.429018,0.4288900895,0.4316966,0.4311859954,0.5034822,0.4684438261,0.48745534,0.3381897958,0.424107
0.4339286,0.4325040597,0.4310269,0.4327398144,0.50245542,0.4673178722,0.48763391,0.3402005325,0.439732
0.4375002,0.4371457065,0.4294644,0.4352287573,0.50125008,0.4664987007,0.48808034,0.3423040665,0.446429
0.4366072,0.4387518043,0.4305804,0.4364533468,0.49937508,0.4655365556,0.48863837,0.3442775305,0.441964
0.4401786,0.4420548695,0.4325894,0.4386729201,0.49714294,0.4648747691,0.48910712,0.3463445299,0.448661
0.447768,0.4487212464,0.438393,0.4429240256,0.4952233,0.4647641507,0.48975445,0.3486358065,0.462054
0.4500002,0.4494451642,0.4419644,0.44437293,0.49245544,0.464220184,0.49013392,0.3506607015,0.450893
0.450893,0.4499277762,0.4441966,0.4455583973,0.48968758,0.4636975493,0.49031249,0.3526454995,0.450893
0.450335,0.4457851841,0.4446925556,0.4440932341,0.48660722,0.4626701945,0.49008928,0.3543257866,0.4375
0.44196425,0.4400471227,0.4451885556,0.4412710098,0.48334828,0.4613329711,0.48982142,0.3557959888,0.428571
0.43303575,0.4317577485,0.4424604444,0.436527008,0.48040186,0.4595230115,0.489375,0.3569718901,0.415179
0.422433,0.4239991657,0.4382441111,0.4314279156,0.4773215,0.4575214032,0.48868303,0.3579918922,0.408482
0.4169642,0.4143624438,0.4330357778,0.4248208401,0.47375006,0.4550730737,0.48787946,0.3587264884,0.395089
0.4066964,0.4049619625,0.4260913333,0.4177917782,0.47017864,0.4523706394,0.48707589,0.3592697461,0.386161
0.3973214,0.3972066417,0.4171626667,0.4112289095,0.4669197,0.4495990849,0.48631696,0.3597138303,0.381696
0.3915178,0.3935247611,0.4099702222,0.4066711077,0.46352684,0.4471113169,0.48575893,0.3602375366,0.386161
0.3816964,0.3821415074,0.3998015556,0.3980718154,0.45946434,0.443670677,0.48493304,0.3602204567,0.359375
0.3700894,0.3671123383,0.3935268,0.3869776672,0.45446434,0.4394896308,0.48392858,0.359761715,0.337054
0.3620536,0.3600688922,0.384375,0.3795239095,0.44977684,0.4358226649,0.48305804,0.3594888494,0.345982
0.3535716,0.3531412615,0.3754465,0.372207926,0.44500006,0.4320369134,0.48174108,0.3590887929,0.339286
0.344643,0.349266841,0.3680804,0.3666279394,0.44049114,0.4284871521,0.48042412,0.3587408564,0.341518
0.344643,0.3526362273,0.3631697,0.3653092232,0.43651792,0.4257768716,0.47937501,0.3587534137,0.359375
0.3491072,0.3548824849,0.3595983,0.3642302735,0.43258934,0.4231728766,0.47837055,0.3587657224,0.359375
0.35625,0.3638203233,0.3591518,0.3674058601,0.42941968,0.4215463324,0.47736608,0.3592197873,0.381696
0.3660714,0.3720112155,0.3598215,0.3712217037,0.42678576,0.4202462018,0.4763393,0.3597974747,0.388393
0.3714286,0.370775477,0.3580358,0.3706912122,0.42357148,0.4182092527,0.47504466,0.3599659207,0.368304
0.3723214,0.368463318,0.3584822,0.3694453554,0.42053576,0.4160770859,0.47370537,0.3600426153,0.363839
0.3709822,0.3632018787,0.3600447,0.3663969271,0.41705362,0.4135908864,0.47225448,0.3598968012,0.352679
0.3651788,0.3596942524,0.3607144,0.3639027586,0.41370542,0.411202185,0.47104913,0.3597538744,0.352679
0.3584824,0.358099835,0.3622769,0.3622678934,0.410759,0.4089946876,0.47013395,0.3596579759,0.354911
0.3549108,0.3555485566,0.3631697,0.3601184582,0.4084822,0.4066986606,0.4690402,0.3594755606,0.350446
0.3500002,0.3501277044,0.3611608,0.3563307385,0.4060715,0.4040550269,0.46752235,0.3590757673,0.339286
0.3455358,0.3435374696,0.358259,0.3516082406,0.40348222,0.4011649082,0.46573663,0.3585070788,0.330357
0.3397322,0.3369119797,0.3524555,0.3465269241,0.40107152,0.3981255392,0.46375003,0.3578170575,0.323661
0.3316964,0.3295186532,0.3450894,0.3407460288,0.39839294,0.3948552043,0.46171878,0.356963888,0.314732
0.325,0.3253337688,0.3399554,0.3364220236,0.39540186,0.3918006473,0.45975449,0.356171811,0.316964
0.320982,0.3232878459,0.3354911,0.3332900193,0.3931697,0.3889534062,0.45790181,0.3554396167,0.319196
0.3151784,0.3159715639,0.3303571,0.3274807431,0.39125006,0.3855175472,0.45593752,0.3543683174,0.301339
0.3093748,0.3088620426,0.3245535,0.3215102443,0.38901792,0.3819538394,0.45381699,0.3531856378,0.294643
0.3049106,0.3033783617,0.3183035,0.3162194726,0.386384,0.3784423555,0.45167414,0.3519821797,0.292411
0.2924106,0.2870735745,0.3087053,0.3049912049,0.38276792,0.3735804592,0.44917414,0.3500511266,0.254464
0.2799106,0.2769477163,0.3004463,0.2962102585,0.37897326,0.368996755,0.44671878,0.3482025102,0.256696
0.2736606,0.2746614776,0.2944195,0.2914609388,0.37513396,0.3651180195,0.44453128,0.346655708,0.270089
0.2691962,0.2738813184,0.2892855,0.2879809499,0.3719643,0.3614789207,0.44229913,0.3451837336,0.272321
0.2651782,0.2733612122,0.2850444,0.2851336863,0.3688393,0.3579825316,0.44002234,0.3437409072,0.272321
0.273214,0.2804551415,0.2828123,0.2868626524,0.3666518,0.3554986284,0.43808038,0.3427686714,0.294643
0.282589,0.2881604277,0.2812498,0.2899005338,0.36441964,0.3534622508,0.4362277,0.3419924799,0.303571
0.288839,0.2925532851,0.2812498,0.2919802549,0.361875,0.3514182018,0.43437502,0.3411874605,0.301339
0.298214,0.3014341901,0.2837051,0.2969285722,0.35933034,0.350154586,0.43276787,0.3407519861,0.319196
0.3098212,0.3110751267,0.2874997,0.3030064682,0.3573214,0.3493782101,0.43116073,0.3405461447,0.330357
0.3174104,0.3182464178,0.2953122,0.3083851103,0.35549104,0.3487198097,0.42948662,0.3403885775,0.332589
0.3254462,0.3267476119,0.3040176,0.3148150903,0.3535714,0.3485249152,0.42801341,0.3404551403,0.34375
